Commentaire,Séance,Module,Aspect,Polarité,Sentiment,Attitude,Valeur,Attente
j'aime bien la structure de ce cours et surtout les exemples sont bien choisis,1/4/2021,PDC,S,P,J,NE,I,NE
 les diapos sont un petit peu chargés il est utile de séparer les sous titres dans des diapos appart,1/4/2021,PDC,D,N,M,NE,NE,NE
il n'y a pas beaucoup d'interaction entre les étudiants et l'enseignant est ennuyant.,1/4/2021,PDC,CO,N,E,NE,C,NE
l'explication est claire et l'enseignant répond à nos questions,1/4/2021,PDC,G,P,J,A,NE,NE
j'aime pas vraiment la méthode abordée en ligne dans la séance de pdc,1/4/2021,PDC,Pr,N,M,NE,C,NE
"Trop de patrons, j'aimerais si on étudie peu de patrons pour bien les maîtriser",1/4/2021,PDC,C,N,M,NE,NE,NE
incohérence des fonts,1/4/2021,PDC,D,N,M,NE,NE,NE
l'enseignante demande toujours si on a des questions donc on a l'opportunité de poser des questions sur les points non claires je l'aime bien,1/4/2021,PDC,CO,P,J,A,I,NE
"typiquement vrai "" Je n'arrive pas à comprendre "" et « ce cours m'a rendu angoissé »",1/4/2021,PDC,G,N,A,NE,C,N
"La présentation du prof  nous aide à comprendre les concepts du cours, c'est le meilleur prof",1/4/2021,PDC,Pr,P,J,A,I,NE
La séance est très intéressante du moment où ça nous aide à optimiser nos codes afin de les rendre  plus performant et efficace. Le cours est très bien présenté et illustré avec beaucoup d'exemples.,1/4/2021,PDC,C,P,J,NE,I,NE
"Je trouve le séquencement très logique: on commence d'abord en se rappelons sur les concepts de POO vus en 2CP, ensuite on élabore les nouveaux patrons de conceptions.",1/4/2021,PDC,S,P,J,NE,NE,NE
Les slides sont beaux et originaux,1/4/2021,PDC,D,P,J,NE,NE,NE
Je pense que quelque slides contiennent beaucoup de détails et d'informations supplémentaires.,1/4/2021,PDC,D,N,M,NE,NE,NE
Très bonne communication entre prof et étudiants.,1/4/2021,PDC,CO,P,J,NE,NE,NE
"Ça serait encore mieux si on pouvait inclure des exercices un peu réel au à la fin des patrons, afin de s'exercer sur des cas un peu compliqués.",1/4/2021,PDC,G,NE,NE,NE,NE,NE
"Une bonne présentation des cours, tout ce qui aide à les comprendre est inclus.",1/4/2021,PDC,Pr,P,J,NE,NE,NE
Peut-être il faut juste détailler un peu plus les exemples car des fois je me sens confus  vu que la liste des DPs est longue ,1/4/2021,PDC,Pr,N,F,NE,C,NE
"Jusqu'à présent, les DP sont intéressants.",1/4/2021,PDC,C,P,J,NE,I,NE
La séquence des cours est bien établie,1/4/2021,PDC,S,P,J,NE,NE,NE
Certains slides contiennent beaucoup de texte ce qui est un peu fatiguant,1/4/2021,PDC,D,N,M,NE,C,NE
J'aime bien le fait que l'enseignant répond aux questions au fur et à mesure,1/4/2021,PDC,CO,P,J,A,I,NE
"C'est une séance très intéressante, riche et importante",1/4/2021,PDC,G,P,J,NE,A,NE
contenu riche et important j'aime bien,1/7/2021,PDC,C,P,J,NE,A,NE
séance courte 1 heure de td ne suffit pas,1/7/2021,PDC,G,N,M,NE,NE,NE
il est bien structuré,1/7/2021,PDC,S,P,J,NE,NE,NE
aujourd'hui je n'est pas bien compris et ça m'énerve,1/7/2021,PDC,G,N,C,NE,C,NE
une bonne communication puisque on peut poser nos questions à tout moment,1/7/2021,PDC,CO,P,J,NE,NE,NE
"c'est difficile de suivre oralement , le contact visuel est toujours meilleur",1/7/2021,PDC,G,N,A,NE,C,N
une quantité logique selon le volume horaire  ^^,1/7/2021,PDC,C,P,J,NE,NE,NE
Toutes les notions de cours sont intéressantes ,1/7/2021,PDC,C,P,J,NE,I,NE
L'ordre est bon,1/7/2021,PDC,S,P,J,NE,NE,NE
 c'est agréable ,1/7/2021,PDC,D,P,J,NE,I,NE
 il y a une bonne communication j'adore  ,1/7/2021,PDC,CO,P,J,NE,I,NE
Je revois les cours toujours parce que en présentiel j'ai l'habitude d'écrire au même temps que l'enseignant explique mais en ligne j'arrive pas à écrire et comprendre au même temps donc je perds le fil et ça me stresse ,1/7/2021,PDC,G,N,A,NE,C,N
 l'enseignante a bien expliqué et simplifié les cours j'adore,1/7/2021,PDC,Pr,P,J,A,I,NE
le contenu du cours me semble très intéressant et  très utile mais il peut s'améliorer s'il y aura plus d'exemples celui qui va nous aider à bien comprendre,1/7/2021,PDC,C,N,M,NE,U,NE
Jusqu'à maintenant le cours est bien organisé,1/7/2021,PDC,S,P,J,NE,NE,NE
le cours contient beaucoup de text,1/7/2021,PDC,D,N,M,NE,NE,NE
j'apprécie la méthode de communication du prof durant la séance et comment elle  répond aux questions malgré que le temps associé aux séances est relativement court .,1/7/2021,PDC,G,P,J,A,I,NE
La présentation est bonne,1/7/2021,PDC,Pr,P,J,NE,NE,NE
le cours est bien structuré,1/7/2021,PDC,S,P,J,NE,NE,NE
le design est bien,1/7/2021,PDC,D,P,J,NE,NE,NE
ça m'énerve quand le prof me demande de prendre la parole car j'ai pas une bonne connexion et je ne suis pas à l'aise chez moi,1/7/2021,PDC,CO,N,C,NE,C,NE
Comme mentionné j'arrive pas à comprendre pourquoi il essaye de comparer le présentiel avec le virtuel c'est pas la même chose et ce n'est pas le même rythme donc il faut revoir la méthode en ligne. ,1/7/2021,PDC,G,N,M,NE,NE,NE
Le fait de choisir une personne quelconque pour répondre aux questions je trouve que c'est un inconvénient. Car ce n'est pas tout le monde qui a une réponse ou peut pas activer son microphone surtout à la maison ,1/11/2021,PDC,CO,N,M,NE,C,NE
Je trouve que le contenu est bien présenté ,1/11/2021,PDC,C,P,J,NE,NE,NE
Il est bien organisé,1/11/2021,PDC,S,P,J,NE,NE,NE
"Très bien fait, même les exemples sont bien illustratifs et reflètent la réalité ce qui nous laisse réellement imaginer le problème et penser à une solution.",1/11/2021,PDC,D,P,J,NE,NE,NE
J'aime pas le fait de désigner une personne précise et lui poser des questions. Je préfère la méthode de laisser les questions juste après chaque partie présentée.,1/11/2021,PDC,CO,N,M,NE,C,NE
Un peu trop d'informations présentées par séance ,1/11/2021,PDC,G,N,M,NE,NE,NE
J'aime bien le contenu du cours mais des fois je me sens stressé quand je vois beaucoup d'informations sur la présentation. Je pense que le cours détaillé c'est pour réviser tout seul et la présentation sera sous forme de grande lignes avec les exemples qui seront dans le cours. ,1/11/2021,PDC,C,N,A,NE,I,N
J'aime bien comment le cours est structuré surtout les pattern Gof sous forme de catégories ensuite on détaille chaque catégorie. ,1/11/2021,PDC,S,P,J,NE,I,NE
"J'aime, design clair et lisible pas d'abus de couleur. ",1/11/2021,PDC,D,P,J,NE,I,NE
"La communication c'est un défaut des étudiants, peu d'étudiants participent en ligne et ça devient ennuyant ",1/11/2021,PDC,CO,N,E,NE,C,NE
J'ai pas arrivé à suivre à cause des coupures de connexion sinon des que je revois le cours j'assimile très bien ce que nous avons vu. ,1/11/2021,PDC,G,N,A,NE,C,N
 Cette séance était parmi les meilleures séances pour ne pas dire la meilleur ,1/14/2021,PDC,G,P,J,NE,NE,NE
Un nombre raisonnable de notions et on a compris,1/14/2021,PDC,C,P,J,NE,NE,NE
Le design était bien,1/14/2021,PDC,D,P,J,NE,NE,NE
" cette fois la communication était très très très bonne, l'enseignante n'a pas obligé les gens a activer leurs micro",1/14/2021,PDC,CO,P,J,NE,NE,NE
"La façon de présentation de la prof n'est pas bonne , la séance passe trop lourde ",1/4/2021,PDC,Pr,N,E,H,C,NE
Le contenu du module est très important surtout pour un ingénieur logiciel.,1/4/2021,PDC,C,P,J,NE,A,NE
"Pour la structure , le cours est bien structuré , genre étape par étape .",1/4/2021,PDC,S,P,J,NE,NE,NE
"Les slides sont trop chargés , les exemples sont un peu compliqués.",1/4/2021,PDC,D,N,M,NE,C,NE
"Dans ce côté la prof pose toujours la question si nous comprenons ou non , donc une bonne communication.",1/4/2021,PDC,CO,P,J,NE,NE,NE
"Si je ne revois pas le cours plusieurs fois et faire des recherche j'arrive pas à comprendre le 20% , donc la quantité des informations gardé durant la séance est très faible en comparant avec d'autres modules.",1/4/2021,PDC,G,N,M,NE,C,N
La présentation du cours contient toutes les informations nécessaires ,1/7/2021,TICO,Pr,P,J,NE,NE,NE
 Des fois je n'arrive pas à faire le lien entre les notions du même chapitre ,1/7/2021,TICO,C,N,F,NE,NE,NE
Je pense que l'ordre dont lequel les notions sont présentées est très logique ,1/7/2021,TICO,S,P,J,NE,NE,NE
Texte clair et lisible. Les couleurs ne sont pas ennuyantes ,1/7/2021,TICO,D,P,J,NE,NE,NE
J'aime bien l'échange entre le prof et les étudiants ,1/7/2021,TICO,CO,P,J,NE,I,NE
"Le cours contient beaucoup d'informations. Je pense ça serait bien de préciser le pourquoi des choses, pour qui  et dans quel but",1/7/2021,TICO,G,N,M,NE,NE,NE
J'adore la présentation du cours. L'enseignant est très pédagogue. ,1/7/2021,TICO,Pr,P,J,A,I,NE
"Le contenu est léger, abordable et pertinent. ",1/7/2021,TICO,C,P,J,NE,I,NE
Le cours est très bien structuré.,1/7/2021,TICO,S,P,J,NE,NE,NE
"Le cours ne nécessite pas d'efforts pour le comprendre, son design est simple et ne contenant que l'essentiel.",1/7/2021,TICO,D,P,J,NE,NE,NE
"J'aime bien le fait que l'enseignant pose des questions aux étudiants, sur certains aspects du cours qui nous font réfléchir.",1/7/2021,TICO,CO,P,J,A,I,NE
Les séances de ce module sont parmi mes préférées à cause de l'enseignante,1/7/2021,TICO,G,P,J,A,I,NE
"Le cours est bien présenté ,les informations sont simplement transmis aussi que le prof essaye de créer une certaine interaction  dans le groupe malgré que c'est difficile ",1/7/2021,TICO,Pr,P,J,A,NE,NE
Le contenu du cours est important soit dans la phase analyse des contenus ou même surtout la partie étude des cas ,1/7/2021,TICO,C,P,J,NE,A,NE
Le cours est bien structuré et je trouve une cohérence entre les séances du cours et TD,1/7/2021,TICO,S,P,J,NE,NE,NE
Pour les slides du cours je les trouve bien on est déjà habitué à ce style avec le module cprj et aqua avec Et aussi dans les slides du cours y’a des photos et schémas  qui attire parfois l'attention lors de l'introduction des exemple et je trouve que ça rendre la présentation active ,1/7/2021,TICO,D,P,J,NE,NE,NE
Bon pour ce point personnellement je préfère la méthodes de dialogue et aussi genre après chaque fin d’un points importants il y’a les questions c’est pas jusqu'à la fin et je trouve ça bien car ça me permet de pouvoir suivre et ne pas déconnecter et perdre la concentration lors du cours ,1/7/2021,TICO,CO,P,J,NE,NE,NE
Je n'apprécie pas vraiment la présentation de ce cours,1/4/2021,TPGO,Pr,N,M,NE,NE,NE
le cour est très intéressant surtout son contenu les notions abordées,1/4/2021,TPGO,C,P,J,NE,I,NE
je trouve qu'il n'est pas assez bien organisé,1/4/2021,TPGO,S,N,M,NE,NE,NE
"on trouve aucune interactivité , noir sur blanc c'est ennuyant",1/4/2021,TPGO,D,N,E,NE,C,NE
"j'apprécie pas la méthode car il fait pas participer les étudiants , il accède pas au chat malgré qu'il y'a des problèmes signalés et ça m'énerve car on passe à autre chose sans comprendre ce qui est déjà vu il nous ignore complètement je le déteste",1/4/2021,TPGO,CO,N,C,H,C,NE
 il faut changer la methode de présentation de ce cours j'aime pas vraiment,1/4/2021,TPGO,G,N,M,NE,C,NE
"L'enseignant lit les diapos, peu d'explications approfondies des notions je le sens inutile",1/4/2021,TPGO,Pr,N,M,H,C,NE
Le cours sur les algorithmes est plutôt intéressant,1/4/2021,TPGO,C,P,J,NE,I,NE
"Cours mal organisé, relations entre les notions pas claires, transitions brusques entre les parties...",1/4/2021,TPGO,S,N,M,NE,C,NE
"Mise en forme hideuse du texte, pas de couleurs au moins pour la distinction des différentes parties, schémas incompréhensibles et non expliqués, ça donne pas envie de suivre.",1/4/2021,TPGO,D,N,E,NE,C,NE
"L'enseignant va très rapidement, sans arrêt, sans prendre en considération le chat, il laisse les questions à la fin (généralement il ne reste pas beaucoup de temps) et on termine la séance avec beaucoup de questions dans nos tête et ça me rend angoissé et stressé. ",1/4/2021,TPGO,CO,N,A,NE,C,NE
"Je n'arrive pas à comprendre avec le rythme rapide et les explications insuffisantes, encore moins suivre avec la mauvaise connexion de l'enseignant (mauvaise qualité de l'audio et de la vidéo, déconnexions...)",1/4/2021,TPGO,G,N,A,H,C,N
le professeur est dynamique donc le cours n'est pas ennuyeux,1/13/2021,TICO,Pr,P,J,A,NE,NE
"Les notions sont assez théoriques et il n'y a pas assez d'exemples relatifs au monde de l'entreprise, c'est toujours des exemples qui concernent l'ESI ",1/13/2021,TICO,C,N,M,NE,NE,NE
Le cours est bien organisé,1/13/2021,TICO,S,P,J,NE,NE,NE
Le cours est assez attractif ,1/13/2021,TICO,D,P,J,NE,NE,NE
Très bonne communication entre le prof et les étudiants,1/13/2021,TICO,CO,P,J,NE,NE,NE
C'est un cours qui n'est pas très chargé donc on a le temps d'assimiler toutes les notions durant la séance,1/13/2021,TICO,G,P,J,NE,NE,NE
Le cours contient plusieurs notions théoriques très importante dans le monde professionnel ,1/13/2021,TICO,C,P,J,NE,U,NE
Bien structuré et contient l'essentiel,1/13/2021,TICO,S,P,J,NE,NE,NE
Le cours contient des schémas d'illustration avec un peu de texte et une couleur verte des slides qu'est bonne,1/13/2021,TICO,D,P,J,NE,NE,NE
Le prof de cours clarifie bien les choses avec des exemples de son expérience et répond au questions des étudiants d'une façon claire et directe,1/13/2021,TICO,CO,P,J,A,NE,NE
La qualité de cours est bonne même les notions élaboré pendant le cours sont intéressants,1/13/2021,TICO,G,P,J,NE,I,NE
la manière de présentation est efficace et claire ,1/20/2021,PDC,Pr,P,J,NE,NE,NE
la structure est logique  ,1/20/2021,PDC,S,P,J,NE,NE,NE
Il y avait pas de couleurs :)) ça n'affecte pas le déroulement de la séance mais colorer les points important me servira à distinguer et même à me rappeler des points lorsque je révise,1/20/2021,PDC,D,N,M,NE,NE,NE
je trouve ce module difficile surtout à distance ça me stresse un peu et j'aurais aimé avoir des corrigés type des exercices pour comparer,1/20/2021,PDC,G,N,A,NE,C,N
la présentation du cours est méthodique.,1/20/2021,PDC,Pr,P,J,NE,NE,NE
cela pourrait être mieux si le cours comportait plus d'exemples.,1/20/2021,PDC,C,N,M,NE,NE,NE
le cours est très bien structuré .,1/20/2021,PDC,S,P,J,NE,NE,NE
il y a un équilibre entre le texte et le schéma permettant une assimilation claire.,1/20/2021,PDC,D,P,J,NE,NE,NE
la méthode de dialogue est la meilleure pour moi j'ai trop aimé le prof,1/20/2021,PDC,CO,P,J,A,I,NE
le prof allait trop vite en td,1/31/2021,ALG1,Pr,N,M,NE,NE,NE
"le prof écrit sur le pc , c'est la meilleure méthode ",1/31/2021,ALG1,D,P,J,NE,NE,NE
 le seul problème c'est que le prof travail d'une manière très rapide je me perds des fois ,1/31/2021,ALG1,G,N,M,NE,C,NE
"Contenu pas clair, dommage",2/1/2021,ELECT,C,N,M,NE,C,NE
je ne pouvais pas interrompre l'enseignante dans les points que je n'ai pas compris et ça m'énerve,2/1/2021,ELECT,CO,N,C,NE,C,NE
je n'ai pas pu poser mes question par microphone à cause de la connexion et ça m'a rendu angoissée,2/1/2021,ELECT,CO,N,A,NE,C,NE
"je n'ai rien compris , on avance trop vite sans bien expliquer chaque point, et la même chose dans les séances précédentes c'est énervant",2/1/2021,ELECT,G,N,C,NE,C,NE
"La prof ne nous entendait pas, elle a fini la dernière partie du chapitre et a fait quatre exercices en une heure, personne ne pourrait suivre on était tous perdus et stressés à cause d'elle et elle s'en foutait",2/2/2021,ELECT,Pr,N,A,H,C,NE
"Je sais lire toute seule j'ai besoin d'explications et de plus d'exemples , et comme la prof n'entendez rien elle a cru que tout le monde a compris et passe au slides suivants ....",2/2/2021,ELECT,Pr,N,M,H,NE,NE
"Cours mal organisé ,",2/2/2021,ELECT,S,N,M,NE,NE,NE
pas d'animations ni de couleurs et surtout dans un tel module on en a besoin et comme ça il est juste ennuyant.,2/2/2021,ELECT,D,N,E,NE,C,NE
"y'avais pas d'interaction du tout, la prof n'entendez rien les étudiants n'ont pas arrêté de parler puisqu'elle entendait rien et ça m'a agacé ",2/2/2021,ELECT,CO,N,C,NE,C,NE
"La prof va trop vite c vrai qu'on a seulement deux heures par semaine mais elle s'absente et puis fait tout en une heure, je suis perdu et j'arrive pas a me rattrapper,vraiment déçue d'elle 
",2/2/2021,ELECT,G,N,M,H,C,N
elle avance très vite ,2/9/2021,ELECT,Pr,N,M,NE,NE,NE
Le contenu de ce cours est très important,2/9/2021,ELECT,C,P,J,NE,A,NE
le cours est résumé  donc c'est très difficile de comprendre d'où les résultats sont venu ,2/9/2021,ELECT,Pr,N,M,NE,NE,NE
parfois les questions organisés après plusieurs points ,2/9/2021,ELECT,CO,N,M,NE,NE,NE
Difficile à comprendre directement vu les problème de connexion d'internet,2/9/2021,ELECT,G,N,M,NE,C,NE
j'ai pas aimé la façon de  la présentation surtout avec son rythme rapide d'explication ,1/26/2021,ELECT,Pr,N,M,NE,C,NE
cela pourrait être mieux si le cours contient juste l'essentiel,1/26/2021,ELECT,C,N,M,NE,NE,NE
le côté design est bien,1/26/2021,ELECT,D,P,J,NE,NE,NE
l'enseignant nous entend pas  donc on est obligé d'utiliser le chat qui prend vraiment le temps,1/26/2021,ELECT,CO,N,M,NE,C,NE
je n'aime pas la présentation du cours. je crois elle est compliquée,2/10/2021,ARCH1,Pr,N,M,NE,C,NE
cela pourrait être mieux s'il écrit la solution ,2/10/2021,ARCH1,C,N,M,NE,NE,NE
pas du tout il a fait une série td dans le cours ce qui le rend mal organisé,2/10/2021,ARCH1,S,N,M,NE,NE,NE
la plupart de temps je n'arrive pas a comprendre c'est stressant quand même,2/10/2021,ARCH1,G,N,A,NE,C,N
 J'aime bien la présentation de TD,2/10/2021,ARCH1,Pr,P,J,NE,I,NE
le contenue est très claire,2/10/2021,ARCH1,C,P,J,NE,NE,NE
j'aime ce TD il est bien structuré  ,2/10/2021,ARCH1,S,P,J,NE,I,NE
elle écrit de façon claire ,2/10/2021,ARCH1,D,P,J,NE,NE,NE
elle nous donne la possibilité de  participer et poser nos questions j'adore,2/10/2021,ARCH1,CO,P,J,A,I,NE
"elle explique tout j'aime bien les séance de ce cours, je me sens tout le temps à l'aise ",2/10/2021,ARCH1,G,P,J,A,I,NE
le cours est bien structuré ,2/13/2021,ARCH1,S,P,J,NE,NE,NE
Très bonne communication entre le prof et les étudiants,2/13/2021,ARCH1,CO,P,J,NE,NE,NE
j'ai aimé le cours,2/13/2021,ARCH1,G,P,J,NE,I,NE
elle explique très vite ,2/13/2021,ARCH1,Pr,N,M,NE,NE,NE
 la présentation etait parfaite,2/13/2021,ARCH1,Pr,P,J,NE,NE,NE
il y avait des coupures je n'ai pas pu suivre ,2/13/2021,ARCH1,Pr,N,A,NE,C,NE
Le contenu de cours est chargée par rapport à la durée ,2/13/2021,ARCH1,C,N,M,NE,NE,NE
Le cours est bien organisé,2/13/2021,ARCH1,S,P,J,NE,NE,NE
J'apprends pas toujours ce que je voulais vraiment juste des petites idées,2/13/2021,ARCH1,G,N,M,NE,C,NE
très bien passé,2/13/2021,ARCH1,Pr,P,J,NE,NE,NE
trés trés important,2/13/2021,ARCH1,C,P,J,NE,A,NE
travail bien organisé,2/13/2021,ARCH1,S,P,J,NE,NE,NE
la façon avec laquelle le prof expliquait m'a perturbé avec mes respects,2/13/2021,ARCH1,Pr,N,A,NE,C,NE
questions/réponses durant le cours pour moi c'est la bonne solution j'adore,2/13/2021,ARCH1,CO,P,J,NE,I,NE
la méthode qu'utilise le prof pour expliquer (écrire à main levée) m'a un peu perturbé et stressé,2/13/2021,ARCH1,Pr,N,A,NE,C,NE
la présentation est cool,2/9/2021,BW,Pr,P,J,NE,NE,NE
c'est très organisé ,2/9/2021,BW,S,P,J,NE,NE,NE
beaucoup de texte mais je pense que c'est l'essentiel de l'essentiel,2/9/2021,BW,D,P,J,NE,NE,NE
la méthode fait par le prof est géniale ,2/9/2021,BW,CO,P,J,A,NE,NE
2h de cours était très lourde pour moi j'avais mal aux yeux,2/9/2021,BW,G,N,M,NE,C,NE
Le cours est présenté un peu rapidement.,2/11/2021,BW,Pr,N,M,NE,NE,NE
Ce cours contient pas mal d'informations importantes et très utiles pour un informaticien.,2/11/2021,BW,C,P,J,NE,U,NE
Le cours et très bien structuré du côté pédagogique.,2/11/2021,BW,S,P,J,NE,NE,NE
Il y a un équilibre entre les textes et les couleurs.,2/11/2021,BW,D,P,J,NE,NE,NE
J'aime bien la méthode du dialogue qui est toujours adoptée dans ce cours.,2/11/2021,BW,CO,P,J,NE,I,NE
Je trouve que la pratique après le cours joue un rôle très important dans la construction des connaissances de ce module.,2/11/2021,BW,G,NE,NE,NE,NE,NE
l'enseignante travaille trop vite,2/13/2021,BW,Pr,N,M,NE,NE,NE
très intéressant ,2/13/2021,BW,C,P,J,NE,I,NE
"Je n'arrivais pas à faire le TP avec vous, je me sens perdu",2/13/2021,BW,G,N,F,NE,C,NE
"j'ai bénéficié de ce cours, il est très intéressant ",2/13/2021,BW,G,P,J,NE,I,NE
c'était génial,2/11/2021,ALSDS,Pr,P,J,NE,NE,NE
très structuré et bien organisé,2/11/2021,ALSDS,S,P,J,NE,NE,NE
"la méthode faite par l'enseignant est géniale , avec une très bonne communication",2/11/2021,ALSDS,CO,P,J,A,NE,NE
Le prof prend beaucoup de temps pour faire un peu d'exercices. J'aime pas vraiment sa méthode,2/11/2021,ALSDS,Pr,N,M,NE,C,NE
"Mal organisé, des fois on prépare des exercices et le profs ne les traitent pas ",2/11/2021,ALSDS,S,N,M,NE,NE,NE
"Un peu de communication entre prof et étudiants, c'est frustrant",2/11/2021,ALSDS,CO,N,A,NE,C,NE
L'essentiel que c'est de comprendre ,2/11/2021,ALSDS,G,NE,NE,NE,NE,NE
 J'aime bien la présentation de ce cours,2/11/2021,SYST1,Pr,P,J,NE,I,NE
Le contenu de ce cours est très important ,2/11/2021,SYST1,C,P,J,NE,A,NE
 j’aime vraiment ce cours il est bien structuré et dans un ordre très logique,2/11/2021,SYST1,S,P,J,NE,I,NE
j'aime la méthode de dialogue faite par l'enseignant,2/11/2021,SYST1,CO,P,J,A,I,NE
C'est incroyable la quantité de connaissances que j'ai acquises aujourd’hui ,2/11/2021,SYST1,G,P,J,NE,A,NE
Oui je suis satisfait avec la méthode de l'enseignement j'ai aimé ,1/27/2021,ARCH1,Pr,P,J,A,I,NE
" des nouvelles notions sont abordées, j'aime bien",1/27/2021,ARCH1,C,P,J,NE,I,NE
"le cours de cette séance est organisé, j'aime bien",1/27/2021,ARCH1,S,P,J,NE,I,NE
On se communique bien avec l'enseignant aucun problème avec ça il est trop gentil avec nous,1/27/2021,ARCH1,CO,P,J,A,NE,NE
"Pas vraiment, c'est ennuyant car  les pages du cours ne sont pas bien animées et colorées ",1/27/2021,ARCH1,D,N,E,NE,C,NE
c'est fatiguant et stressant  de travailler chaque jour sur ce module á distance,1/27/2021,ARCH1,G,N,A,NE,C,NE
"La présentation était bien , la prof écrivait sur un tableau blanc étapes par étape ce qui a aidé à mieux suivre et comprendre",1/27/2021,ARCH1,Pr,P,J,NE,NE,NE
Les exercices et la méthode de simplification sont très bien expliqués donc il faut suivre dès le début pour bien avancer,1/27/2021,ARCH1,C,P,J,NE,NE,NE
Très bonne structure,1/27/2021,ARCH1,S,P,J,NE,NE,NE
Très bonne interaction,1/27/2021,ARCH1,CO,P,J,NE,NE,NE
Le TD de cette semaine s'est très bien passé,1/27/2021,ARCH1,G,P,J,NE,NE,NE
