Commentaire,Séance,Module,Présentation,Contenu,Design,Général,Communication,Structure,Utilité,Intrinsèque,Accomplissement,Cout,Anxiété,Colère,Ennui,Joie,espoir,"
désespoir",Satisfaction,Gratitude,"
Déception",Mécontentement,Confusion,Polarité,Attitude,Attente,Valeur,Sentiment,Aspect
"Organisé, une bonne cohérence entre les concepts",/,Esi,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,P,NE,NE,C,A,G
J'ai du mal à suivre tellement les concepts sont nombreux et se ressemblent je me sens perdu,/,Esi,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,N,NE,NE,NE,J,D
"Bonne présentation , les slides sont bien animés",/,Esi,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,P,NE,NE,I,J,CO
"Le prof pose toujours des questions par rapport à la compréhension des étudiants et répond aux questions des étudiants, il y'a une bonne communication et gestion du cours, il me motive",/,Esi,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,P,A,NE,C,A,G
"Par contre là, oui trop de concepts difficile à assimiler tous à la fois, si tu rates une petite partie à cause de la connexion pourrie tu n'arrives plus à suivre la suite et ça me stresse car ça m'est arrivée plusieurs fois",/,Esi,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,N,NE,NE,NE,M,Pr
Manque légèrement de dynamisme,/,Esi,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,N,NE,NE,NE,M,C
 pourrait être un peu plus orienté vers des exemples concrets,/,Esi,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,N,NE,NE,NE,M,S
"Cours bien organisé, néanmoins une vue plus globale avec la description des liens existants entre chaque concept pourrait être intéressante",/,Esi,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,N,NE,NE,NE,J,D
"Typographies soignées, images représentatives et couleurs harmonieuses.",/,Esi,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,P,NE,NE,NE,M,D
 les slides sont parfois un peu trop chargées en texte,/,Esi,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,N,NE,NE,C,E,CO
"Hormis les questions des étudiants, peu d'occasions d'interaction je m'ennuie trop ",/,Esi,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,N,NE,NE,I,J,G
"Séance très intéressante avec du contenu que je découvre pour la première fois, certains aspects pourraient être améliorés pour rendre l'expérience parfaite",/,Esi,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,P,NE,NE,NE,J,Pr
cours bien expliqué,/,Esi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,P,NE,NE,I,M,C
"cours intéressant, mais ça serait mieux d'avoir plus d'exemples",/,Esi,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,N,NE,NE,NE,J,S
bien organisé,/,Esi,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,P,NE,NE,NE,E,D
j'ai tendance à dire qu'il y a beaucoup de textes dans quelques slides,/,Esi,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,N,NE,NE,NE,J,CO
le prof répond toujours aux questions et incite les étudiants à poser leurs questions  donc une bonne interaction,/,Esi,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,P,A,NE,I,J,G
j'ai trop aimé car j'ai appris de nouvelles choses,/,Esi,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,P,NE,NE,NE,M,Pr
le prof présente d'une manière rapide j'aime pas du tout sa méthode,/,Esi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,N,NE,NE,I,J,C
Le cours est intéressant ,/,Esi,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,P,NE,NE,NE,J,S
Le cours est bien structuré.,/,Esi,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,P,NE,NE,NE,M,D
il faut ajouter quelques animations.,/,Esi,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,N,NE,NE,NE,J,CO
Très bonne communication,/,Esi,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,P,NE,NE,A,J,G
C'est incroyable la quantité de connaissances que j'ai acquises aujourd’hui,/,Esi,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,P,NE,NE,NE,M,Pr
l'explication est bonne mais la façon c'est inactive,/,Esi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,N,NE,NE,A,J,C
les notions sont importantes et intéressantes,/,Esi,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,P,NE,NE,I,J,S
j'aime bien la structure de ce cours et surtout les exemples sont bien choisis,/,Esi,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,P,NE,NE,NE,M,D
 les diapos sont un petit peu chargés il est utile de séparer les sous titres dans des diapos appart,/,Esi,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,N,NE,NE,C,E,CO
il n'y a pas beaucoup d'interaction entre les étudiants et l'enseignant est ennuyant.,/,Esi,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,N,NE,NE,NE,J,G
l'explication est claire et l'enseignant répond à nos questions,/,Esi,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,P,A,NE,C,M,Pr
j'aime pas vraiment la méthode abordée en ligne dans la séance de pdc,/,Esi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,N,NE,NE,NE,M,C
"Trop de patrons, j'aimerais si on étudie peu de patrons pour bien les maîtriser",/,Esi,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,N,NE,NE,NE,M,D
incohérence des fonts,/,Esi,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,N,NE,NE,I,J,CO
l'enseignante demande toujours si on a des questions donc on a l'opportunité de poser des questions sur les points non claires je l'aime bien,/,Esi,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,P,A,NE,C,A,G
"typiquement vrai "" Je n'arrive pas à comprendre "" et « ce cours m'a rendu angoissé »",/,Esi,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,N,NE,N,I,J,Pr
"La présentation du prof  nous aide à comprendre les concepts du cours, c'est le meilleur prof",/,Esi,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,P,A,NE,I,J,C
La séance est très intéressante du moment où ça nous aide à optimiser nos codes afin de les rendre  plus performant et efficace. Le cours est très bien présenté et illustré avec beaucoup d'exemples.,/,Esi,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,P,NE,NE,NE,J,S
"Je trouve le séquencement très logique: on commence d'abord en se rappelons sur les concepts de POO vus en 2CP, ensuite on élabore les nouveaux patrons de conceptions.",/,Esi,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,P,NE,NE,NE,J,D
Les slides sont beaux et originaux,/,Esi,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,P,NE,NE,NE,M,D
Je pense que quelque slides contiennent beaucoup de détails et d'informations supplémentaires.,/,Esi,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,N,NE,NE,NE,J,CO
Très bonne communication entre prof et étudiants.,/,Esi,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,P,NE,NE,NE,NE,G
"Ça serait encore mieux si on pouvait inclure des exercices un peu réel au à la fin des patrons, afin de s'exercer sur des cas un peu compliqués.",/,Esi,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NE,NE,NE,NE,J,Pr
"Une bonne présentation des cours, tout ce qui aide à les comprendre est inclus.",/,Esi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,P,NE,NE,C,F,Pr
Peut-être il faut juste détailler un peu plus les exemples car des fois je me sens confus  vu que la liste des DPs est longue ,/,Esi,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,N,NE,NE,I,J,C
"Jusqu'à présent, les DP sont intéressants.",/,Esi,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,P,NE,NE,NE,J,S
La séquence des cours est bien établie,/,Esi,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,P,NE,NE,C,M,D
Certains slides contiennent beaucoup de texte ce qui est un peu fatiguant,/,Esi,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,N,NE,NE,I,J,CO
J'aime bien le fait que l'enseignant répond aux questions au fur et à mesure,/,Esi,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,P,A,NE,A,J,G
"C'est une séance très intéressante, riche et importante",/,Esi,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,P,NE,NE,A,J,C
contenu riche et important j'aime bien,/,Esi,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,P,NE,NE,NE,M,G
séance courte 1 heure de td ne suffit pas,/,Esi,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,N,NE,NE,NE,J,S
il est bien structuré,/,Esi,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,P,NE,NE,C,C,G
aujourd'hui je n'est pas bien compris et ça m'énerve,/,Esi,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,N,NE,NE,NE,J,CO
une bonne communication puisque on peut poser nos questions à tout moment,/,Esi,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,P,NE,NE,C,A,G
"c'est difficile de suivre oralement , le contact visuel est toujours meilleur",/,Esi,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,N,NE,NE,NE,J,C
une quantité logique selon le volume horaire  ^^,/,Esi,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,P,NE,NE,I,J,C
Toutes les notions de cours sont intéressantes ,/,Esi,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,P,NE,NE,NE,J,S
L'ordre est bon,/,Esi,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,P,NE,NE,I,J,D
 c'est agréable ,/,Esi,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,P,NE,NE,I,J,CO
 il y a une bonne communication j'adore  ,/,Esi,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,P,NE,NE,C,A,G
Je revois les cours toujours parce que en présentiel j'ai l'habitude d'écrire au même temps que l'enseignant explique mais en ligne j'arrive pas à écrire et comprendre au même temps donc je perds le fil et ça me stresse ,/,Esi,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,N,NE,N,I,J,Pr
 l'enseignante a bien expliqué et simplifié les cours j'adore,/,Esi,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,P,A,NE,U,M,C
le contenu du cours me semble très intéressant et  très utile mais il peut s'améliorer s'il y aura plus d'exemples celui qui va nous aider à bien comprendre,/,Esi,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,N,NE,NE,NE,J,S
Jusqu'à maintenant le cours est bien organisé,/,Esi,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,P,NE,NE,NE,M,D
le cours contient beaucoup de text,/,Esi,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,N,NE,NE,I,J,G
j'apprécie la méthode de communication du prof durant la séance et comment elle  répond aux questions malgré que le temps associé aux séances est relativement court .,/,Esi,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,P,A,NE,NE,J,Pr
La présentation est bonne,/,Esi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,P,NE,NE,NE,J,S
le cours est bien structuré,/,Esi,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,P,NE,NE,NE,J,D
le design est bien,/,Esi,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,P,NE,NE,C,C,CO
ça m'énerve quand le prof me demande de prendre la parole car j'ai pas une bonne connexion et je ne suis pas à l'aise chez moi,/,Esi,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,N,NE,NE,NE,M,G
Comme mentionné j'arrive pas à comprendre pourquoi il essaye de comparer le présentiel avec le virtuel c'est pas la même chose et ce n'est pas le même rythme donc il faut revoir la méthode en ligne. ,/,Esi,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,N,NE,NE,C,M,CO
Le fait de choisir une personne quelconque pour répondre aux questions je trouve que c'est un inconvénient. Car ce n'est pas tout le monde qui a une réponse ou peut pas activer son microphone surtout à la maison ,/,Esi,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,N,NE,NE,NE,J,C
Je trouve que le contenu est bien présenté ,/,Esi,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,P,NE,NE,NE,J,S
Il est bien organisé,/,Esi,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,P,NE,NE,NE,J,D
"Très bien fait, même les exemples sont bien illustratifs et reflètent la réalité ce qui nous laisse réellement imaginer le problème et penser à une solution.",/,Esi,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,P,NE,NE,C,M,CO
J'aime pas le fait de désigner une personne précise et lui poser des questions. Je préfère la méthode de laisser les questions juste après chaque partie présentée.,/,Esi,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,N,NE,NE,NE,M,G
Un peu trop d'informations présentées par séance ,/,Esi,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,N,NE,NE,I,A,C
J'aime bien le contenu du cours.,/,Esi,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,N,NE,NE,I,J,S
des fois je me sens stressé quand je vois beaucoup d'informations sur la présentation. Je pense que le cours détaillé c'est pour réviser tout seul et la présentation sera sous forme de grande lignes avec les exemples qui seront dans le cours.,/,Esi,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,N,NE,NE,I,J,D
J'aime bien comment le cours est structuré surtout les pattern Gof sous forme de catégories ensuite on détaille chaque catégorie. ,/,Esi,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,P,NE,NE,C,E,CO
"J'aime, design clair et lisible pas d'abus de couleur. ",/,Esi,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,P,NE,NE,C,A,G
"La communication c'est un défaut des étudiants, peu d'étudiants participent en ligne et ça devient ennuyant ",/,Esi,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,N,NE,NE,NE,J,G
J'ai pas arrivé à suivre à cause des coupures de connexion sinon des que je revois le cours j'assimile très bien ce que nous avons vu. ,/,Esi,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,N,NE,NE,NE,J,C
 Cette séance était parmi les meilleures séances pour ne pas dire la meilleur ,/,Esi,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,P,NE,NE,NE,J,D
Un nombre raisonnable de notions et on a compris,/,Esi,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,P,NE,NE,NE,J,CO
Le design était bien,/,Esi,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,P,NE,NE,C,E,Pr
" cette fois la communication était très très très bonne, l'enseignante n'a pas obligé les gens a activer leurs micro",/,Esi,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,P,NE,NE,A,J,C
"La façon de présentation de la prof n'est pas bonne , la séance passe trop lourde ",/,Esi,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,N,H,NE,NE,J,S
Le contenu du module est très important surtout pour un ingénieur logiciel.,/,Esi,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,P,NE,NE,C,M,D
"Pour la structure , le cours est bien structuré , genre étape par étape .",/,Esi,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,P,NE,NE,NE,J,CO
"Les slides sont trop chargés , les exemples sont un peu compliqués.",/,Esi,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,N,NE,NE,C,M,G
"Dans ce côté la prof pose toujours la question si nous comprenons ou non , donc une bonne communication.",/,Esi,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,P,NE,NE,NE,J,Pr
"Si je ne revois pas le cours plusieurs fois et faire des recherche j'arrive pas à comprendre le 20% , donc la quantité des informations gardé durant la séance est très faible en comparant avec d'autres modules.",/,Esi,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,N,NE,N,NE,F,C
La présentation du cours contient toutes les informations nécessaires ,/,Esi,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,P,NE,NE,NE,J,S
 Des fois je n'arrive pas à faire le lien entre les notions du même chapitre ,/,Esi,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,N,NE,N,NE,J,D
Je pense que l'ordre dont lequel les notions sont présentées est très logique ,/,Esi,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,P,NE,NE,I,J,CO
Texte clair et lisible. Les couleurs ne sont pas ennuyantes ,/,Esi,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,P,NE,NE,NE,M,G
J'aime bien l'échange entre le prof et les étudiants ,/,Esi,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,P,NE,NE,I,J,Pr
"Le cours contient beaucoup d'informations. Je pense ça serait bien de préciser le pourquoi des choses, pour qui  et dans quel but",/,Esi,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,N,NE,NE,I,J,C
J'adore la présentation du cours. L'enseignant est très pédagogue. ,/,Esi,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,P,A,NE,NE,J,S
"Le contenu est léger, abordable et pertinent. ",/,Esi,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,P,NE,NE,NE,J,D
Le cours est très bien structuré.,/,Esi,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,P,NE,NE,I,J,CO
"Le cours ne nécessite pas d'efforts pour le comprendre, son design est simple et ne contenant que l'essentiel.",/,Esi,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,P,NE,NE,I,J,G
"J'aime bien le fait que l'enseignant pose des questions aux étudiants, sur certains aspects du cours qui nous font réfléchir.",/,Esi,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,P,A,NE,NE,J,Pr
Les séances de ce module sont parmi mes préférées à cause de l'enseignante,/,Esi,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,P,A,NE,A,J,C
"Le cours est bien présenté ,les informations sont simplement transmis aussi que le prof essaye de créer une certaine interaction  dans le groupe malgré que c'est difficile ",/,Esi,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,P,A,NE,NE,J,S
Le contenu du cours est important soit dans la phase analyse des contenus ou même surtout la partie étude des cas ,/,Esi,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,P,NE,NE,NE,J,D
Le cours est bien structuré et je trouve une cohérence entre les séances du cours et TD,/,Esi,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,P,NE,NE,NE,J,CO
Pour les slides du cours je les trouve bien on est déjà habitué à ce style avec le module cprj et aqua avec Et aussi dans les slides du cours y’a des photos et schémas  qui attire parfois l'attention lors de l'introduction des exemple et je trouve que ça rendre la présentation active ,/,Esi,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,P,NE,NE,NE,M,Pr
Bon pour ce point personnellement je préfère la méthodes de dialogue et aussi genre après chaque fin d’un points importants il y’a les questions c’est pas jusqu'à la fin et je trouve ça bien car ça me permet de pouvoir suivre et ne pas déconnecter et perdre la concentration lors du cours ,/,Esi,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,P,NE,NE,I,J,C
Je n'apprécie pas vraiment la présentation de ce cours,/,Esi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,N,NE,NE,NE,M,S
le cour est très intéressant surtout son contenu les notions abordées,/,Esi,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,P,NE,NE,C,E,D
je trouve qu'il n'est pas assez bien organisé,/,Esi,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,N,NE,NE,C,C,CO
"on trouve aucune interactivité , noir sur blanc c'est ennuyant",/,Esi,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,N,NE,NE,C,M,G
"j'apprécie pas la méthode car il fait pas participer les étudiants , il accède pas au chat malgré qu'il y'a des problèmes signalés et ça m'énerve car on passe à autre chose sans comprendre ce qui est déjà vu il nous ignore complètement je le déteste",/,Esi,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,N,H,NE,C,M,Pr
 il faut changer la methode de présentation de ce cours j'aime pas vraiment,/,Esi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,N,NE,NE,I,J,C
"L'enseignant lit les diapos, peu d'explications approfondies des notions je le sens inutile",/,Esi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,N,H,NE,C,M,S
Le cours sur les algorithmes est plutôt intéressant,/,Esi,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,P,NE,NE,C,E,D
"Cours mal organisé, relations entre les notions pas claires, transitions brusques entre les parties...",/,Esi,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,N,NE,NE,C,A,CO
"Mise en forme hideuse du texte, pas de couleurs au moins pour la distinction des différentes parties, schémas incompréhensibles et non expliqués, ça donne pas envie de suivre.",/,Esi,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,N,NE,NE,C,A,G
"L'enseignant va très rapidement, sans arrêt, sans prendre en considération le chat, il laisse les questions à la fin (généralement il ne reste pas beaucoup de temps) et on termine la séance avec beaucoup de questions dans nos tête et ça me rend angoissé et stressé. ",/,Esi,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,N,NE,NE,NE,J,Pr
"Je n'arrive pas à comprendre avec le rythme rapide et les explications insuffisantes, encore moins suivre avec la mauvaise connexion de l'enseignant (mauvaise qualité de l'audio et de la vidéo, déconnexions...)",/,Esi,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,N,H,N,NE,M,C
le professeur est dynamique donc le cours n'est pas ennuyeux,/,Esi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,P,A,NE,NE,J,S
"Les notions sont assez théoriques et il n'y a pas assez d'exemples relatifs au monde de l'entreprise, c'est toujours des exemples qui concernent l'ESI ",/,Esi,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,N,NE,NE,NE,J,D
Le cours est bien organisé,/,Esi,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,P,NE,NE,NE,J,CO
Le cours est assez attractif ,/,Esi,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,P,NE,NE,NE,J,G
