Commentaire,Séance,Module,Aspect,Polarité,Sentiment,Attitude
incohérence des fonts,04/01/2021,PDC,D,N,M,NE
l'enseignante demande toujours si on a des questions donc on a l'opportunité de poser des questions sur les points non claires je l'aime bien,04/01/2021,PDC,CO,P,J,A
"typiquement vrai "" Je n'arrive pas à comprendre "" et « ce cours m'a rendu angoissé »",04/01/2021,PDC,G,N,A,NE
"La présentation du prof  nous aide à comprendre les concepts du cours, c'est le meilleur prof",04/01/2021,PDC,Pr,P,J,A
La séance est très intéressante du moment où ça nous aide à optimiser nos codes afin de les rendre  plus performant et efficace. Le cours est très bien présenté et illustré avec beaucoup d'exemples.,04/01/2021,PDC,C,P,J,NE
"Je trouve le séquencement très logique: on commence d'abord en se rappelons sur les concepts de POO vus en 2CP, ensuite on élabore les nouveaux patrons de conceptions.",04/01/2021,PDC,S,P,J,NE
Les slides sont beaux et originaux,04/01/2021,PDC,D,P,J,NE
Je pense que quelque slides contiennent beaucoup de détails et d'informations supplémentaires.,04/01/2021,PDC,D,N,M,NE
Très bonne communication entre prof et étudiants.,04/01/2021,PDC,CO,P,J,NE
"Ça serait encore mieux si on pouvait inclure des exercices un peu réel au à la fin des patrons, afin de s'exercer sur des cas un peu compliqués.",04/01/2021,PDC,G,NE,NE,NE
"Une bonne présentation des cours, tout ce qui aide à les comprendre est inclus.",04/01/2021,PDC,Pr,P,J,NE
Peut-être il faut juste détailler un peu plus les exemples car des fois je me sens confus  vu que la liste des DPs est longue ,04/01/2021,PDC,Pr,N,F,NE
"Jusqu'à présent, les DP sont intéressants.",04/01/2021,PDC,C,P,J,NE
La séquence des cours est bien établie,04/01/2021,PDC,S,P,J,NE
Certains slides contiennent beaucoup de texte ce qui est un peu fatiguant,04/01/2021,PDC,D,N,M,NE
J'aime bien le fait que l'enseignant répond aux questions au fur et à mesure,04/01/2021,PDC,CO,P,J,A
"C'est une séance très intéressante, riche et importante",04/01/2021,PDC,G,P,J,NE
contenu riche et important j'aime bien,07/01/2021,PDC,C,P,J,NE
séance courte 1 heure de td ne suffit pas,07/01/2021,PDC,G,N,M,NE
il est bien structuré,07/01/2021,PDC,S,P,J,NE
aujourd'hui je n'est pas bien compris et ça m'énerve,07/01/2021,PDC,G,N,C,NE
une bonne communication puisque on peut poser nos questions à tout moment,07/01/2021,PDC,CO,P,J,NE
"c'est difficile de suivre oralement , le contact visuel est toujours meilleur",07/01/2021,PDC,G,N,A,NE
une quantité logique selon le volume horaire  ^^,07/01/2021,PDC,C,P,J,NE
Toutes les notions de cours sont intéressantes ,07/01/2021,PDC,C,P,J,NE
L'ordre est bon,07/01/2021,PDC,S,P,J,NE
 c'est agréable ,07/01/2021,PDC,D,P,J,NE
 il y a une bonne communication j'adore  ,07/01/2021,PDC,CO,P,J,NE
Je revois les cours toujours parce que en présentiel j'ai l'habitude d'écrire au même temps que l'enseignant explique mais en ligne j'arrive pas à écrire et comprendre au même temps donc je perds le fil et ça me stresse ,07/01/2021,PDC,G,N,A,NE
 l'enseignante a bien expliqué et simplifié les cours j'adore,07/01/2021,PDC,Pr,P,J,A
le contenu du cours me semble très intéressant et  très utile mais il peut s'améliorer s'il y aura plus d'exemples celui qui va nous aider à bien comprendre,07/01/2021,PDC,C,N,M,NE
Jusqu'à maintenant le cours est bien organisé,07/01/2021,PDC,S,P,J,NE
le cours contient beaucoup de text,07/01/2021,PDC,D,N,M,NE
j'apprécie la méthode de communication du prof durant la séance et comment elle  répond aux questions malgré que le temps associé aux séances est relativement court .,07/01/2021,PDC,G,P,J,A
La présentation est bonne,07/01/2021,PDC,Pr,P,J,NE
le cours est bien structuré,07/01/2021,PDC,S,P,J,NE
le design est bien,07/01/2021,PDC,D,P,J,NE
ça m'énerve quand le prof me demande de prendre la parole car j'ai pas une bonne connexion et je ne suis pas à l'aise chez moi,07/01/2021,PDC,CO,N,C,NE
Comme mentionné j'arrive pas à comprendre pourquoi il essaye de comparer le présentiel avec le virtuel c'est pas la même chose et ce n'est pas le même rythme donc il faut revoir la méthode en ligne. ,07/01/2021,PDC,G,N,M,NE
Le fait de choisir une personne quelconque pour répondre aux questions je trouve que c'est un inconvénient. Car ce n'est pas tout le monde qui a une réponse ou peut pas activer son microphone surtout à la maison ,11/01/2021,PDC,CO,N,M,NE
Je trouve que le contenu est bien présenté ,11/01/2021,PDC,C,P,J,NE
Il est bien organisé,11/01/2021,PDC,S,P,J,NE
"Très bien fait, même les exemples sont bien illustratifs et reflètent la réalité ce qui nous laisse réellement imaginer le problème et penser à une solution.",11/01/2021,PDC,D,P,J,NE
J'aime pas le fait de désigner une personne précise et lui poser des questions. Je préfère la méthode de laisser les questions juste après chaque partie présentée.,11/01/2021,PDC,CO,N,M,NE
Un peu trop d'informations présentées par séance ,11/01/2021,PDC,G,N,M,NE
J'aime bien le contenu du cours mais des fois je me sens stressé quand je vois beaucoup d'informations sur la présentation. Je pense que le cours détaillé c'est pour réviser tout seul et la présentation sera sous forme de grande lignes avec les exemples qui seront dans le cours. ,11/01/2021,PDC,C,N,A,NE
J'aime bien comment le cours est structuré surtout les pattern Gof sous forme de catégories ensuite on détaille chaque catégorie. ,11/01/2021,PDC,S,P,J,NE
"J'aime, design clair et lisible pas d'abus de couleur. ",11/01/2021,PDC,D,P,J,NE
"La communication c'est un défaut des étudiants, peu d'étudiants participent en ligne et ça devient ennuyant ",11/01/2021,PDC,CO,N,E,NE
J'ai pas arrivé à suivre à cause des coupures de connexion sinon des que je revois le cours j'assimile très bien ce que nous avons vu. ,11/01/2021,PDC,G,N,A,NE
 Cette séance était parmi les meilleures séances pour ne pas dire la meilleur ,14/01/2021,PDC,G,P,J,NE
Un nombre raisonnable de notions et on a compris,14/01/2021,PDC,C,P,J,NE
Le design était bien,14/01/2021,PDC,D,P,J,NE
" cette fois la communication était très très très bonne, l'enseignante n'a pas obligé les gens a activer leurs micro",14/01/2021,PDC,CO,P,J,NE
"La façon de présentation de la prof n'est pas bonne , la séance passe trop lourde ",04/01/2021,PDC,Pr,N,E,H
Le contenu du module est très important surtout pour un ingénieur logiciel.,04/01/2021,PDC,C,P,J,NE
"Pour la structure , le cours est bien structuré , genre étape par étape .",04/01/2021,PDC,S,P,J,NE
"Les slides sont trop chargés , les exemples sont un peu compliqués.",04/01/2021,PDC,D,N,M,NE
"Dans ce côté la prof pose toujours la question si nous comprenons ou non , donc une bonne communication.",04/01/2021,PDC,CO,P,J,NE
"Si je ne revois pas le cours plusieurs fois et faire des recherche j'arrive pas à comprendre le 20% , donc la quantité des informations gardé durant la séance est très faible en comparant avec d'autres modules.",04/01/2021,PDC,G,N,M,NE
La présentation du cours contient toutes les informations nécessaires ,07/01/2021,TICO,Pr,P,J,NE
 Des fois je n'arrive pas à faire le lien entre les notions du même chapitre ,07/01/2021,TICO,C,N,F,NE
Je pense que l'ordre dont lequel les notions sont présentées est très logique ,07/01/2021,TICO,S,P,J,NE
Texte clair et lisible. Les couleurs ne sont pas ennuyantes ,07/01/2021,TICO,D,P,J,NE
J'aime bien l'échange entre le prof et les étudiants ,07/01/2021,TICO,CO,P,J,NE
"Le cours contient beaucoup d'informations. Je pense ça serait bien de préciser le pourquoi des choses, pour qui  et dans quel but",07/01/2021,TICO,G,N,M,NE
J'adore la présentation du cours. L'enseignant est très pédagogue. ,07/01/2021,TICO,Pr,P,J,A
"Le contenu est léger, abordable et pertinent. ",07/01/2021,TICO,C,P,J,NE
Le cours est très bien structuré.,07/01/2021,TICO,S,P,J,NE
"Le cours ne nécessite pas d'efforts pour le comprendre, son design est simple et ne contenant que l'essentiel.",07/01/2021,TICO,D,P,J,NE
"J'aime bien le fait que l'enseignant pose des questions aux étudiants, sur certains aspects du cours qui nous font réfléchir.",07/01/2021,TICO,CO,P,J,A
Les séances de ce module sont parmi mes préférées à cause de l'enseignante,07/01/2021,TICO,G,P,J,A
"Le cours est bien présenté ,les informations sont simplement transmis aussi que le prof essaye de créer une certaine interaction  dans le groupe malgré que c'est difficile ",07/01/2021,TICO,Pr,P,J,A
Le contenu du cours est important soit dans la phase analyse des contenus ou même surtout la partie étude des cas ,07/01/2021,TICO,C,P,J,NE
Le cours est bien structuré et je trouve une cohérence entre les séances du cours et TD,07/01/2021,TICO,S,P,J,NE
Pour les slides du cours je les trouve bien on est déjà habitué à ce style avec le module cprj et aqua avec Et aussi dans les slides du cours y’a des photos et schémas  qui attire parfois l'attention lors de l'introduction des exemple et je trouve que ça rendre la présentation active ,07/01/2021,TICO,D,P,J,NE
Bon pour ce point personnellement je préfère la méthodes de dialogue et aussi genre après chaque fin d’un points importants il y’a les questions c’est pas jusqu'à la fin et je trouve ça bien car ça me permet de pouvoir suivre et ne pas déconnecter et perdre la concentration lors du cours ,07/01/2021,TICO,CO,P,J,NE
Je n'apprécie pas vraiment la présentation de ce cours,04/01/2021,TPGO,Pr,N,M,NE
le cour est très intéressant surtout son contenu les notions abordées,04/01/2021,TPGO,C,P,J,NE
je trouve qu'il n'est pas assez bien organisé,04/01/2021,TPGO,S,N,M,NE
"on trouve aucune interactivité , noir sur blanc c'est ennuyant",04/01/2021,TPGO,D,N,E,NE
"j'apprécie pas la méthode car il fait pas participer les étudiants , il accède pas au chat malgré qu'il y'a des problèmes signalés et ça m'énerve car on passe à autre chose sans comprendre ce qui est déjà vu il nous ignore complètement je le déteste",04/01/2021,TPGO,CO,N,C,H
 il faut changer la methode de présentation de ce cours j'aime pas vraiment,04/01/2021,TPGO,G,N,M,NE
"L'enseignant lit les diapos, peu d'explications approfondies des notions je le sens inutile",04/01/2021,TPGO,Pr,N,M,H
Le cours sur les algorithmes est plutôt intéressant,04/01/2021,TPGO,C,P,J,NE
"Cours mal organisé, relations entre les notions pas claires, transitions brusques entre les parties...",04/01/2021,TPGO,S,N,M,NE
"Mise en forme hideuse du texte, pas de couleurs au moins pour la distinction des différentes parties, schémas incompréhensibles et non expliqués, ça donne pas envie de suivre.",04/01/2021,TPGO,D,N,E,NE
"L'enseignant va très rapidement, sans arrêt, sans prendre en considération le chat, il laisse les questions à la fin (généralement il ne reste pas beaucoup de temps) et on termine la séance avec beaucoup de questions dans nos tête et ça me rend angoissé et stressé. ",04/01/2021,TPGO,CO,N,A,NE
"Je n'arrive pas à comprendre avec le rythme rapide et les explications insuffisantes, encore moins suivre avec la mauvaise connexion de l'enseignant (mauvaise qualité de l'audio et de la vidéo, déconnexions...)",04/01/2021,TPGO,G,N,A,H
le professeur est dynamique donc le cours n'est pas ennuyeux,13/01/2021,TICO,Pr,P,J,A
"Les notions sont assez théoriques et il n'y a pas assez d'exemples relatifs au monde de l'entreprise, c'est toujours des exemples qui concernent l'ESI ",13/01/2021,TICO,C,N,M,NE
Le cours est bien organisé,13/01/2021,TICO,S,P,J,NE
Le cours est assez attractif ,13/01/2021,TICO,D,P,J,NE
Très bonne communication entre le prof et les étudiants,13/01/2021,TICO,CO,P,J,NE
C'est un cours qui n'est pas très chargé donc on a le temps d'assimiler toutes les notions durant la séance,13/01/2021,TICO,G,P,J,NE
Le cours contient plusieurs notions théoriques très importante dans le monde professionnel ,13/01/2021,TICO,C,P,J,NE
Bien structuré et contient l'essentiel,13/01/2021,TICO,S,P,J,NE
Le cours contient des schémas d'illustration avec un peu de texte et une couleur verte des slides qu'est bonne,13/01/2021,TICO,D,P,J,NE
Le prof de cours clarifie bien les choses avec des exemples de son expérience et répond au questions des étudiants d'une façon claire et directe,13/01/2021,TICO,CO,P,J,A
La qualité de cours est bonne même les notions élaboré pendant le cours sont intéressants,13/01/2021,TICO,G,P,J,NE
la manière de présentation est efficace et claire ,20/01/2021,PDC,Pr,P,J,NE
la structure est logique  ,20/01/2021,PDC,S,P,J,NE
Il y avait pas de couleurs :)) ça n'affecte pas le déroulement de la séance mais colorer les points important me servira à distinguer et même à me rappeler des points lorsque je révise,20/01/2021,PDC,D,N,M,NE
je trouve ce module difficile surtout à distance ça me stresse un peu et j'aurais aimé avoir des corrigés type des exercices pour comparer,20/01/2021,PDC,G,N,A,NE
la présentation du cours est méthodique.,20/01/2021,PDC,Pr,P,J,NE
cela pourrait être mieux si le cours comportait plus d'exemples.,20/01/2021,PDC,C,N,M,NE
le cours est très bien structuré .,20/01/2021,PDC,S,P,J,NE
il y a un équilibre entre le texte et le schéma permettant une assimilation claire.,20/01/2021,PDC,D,P,J,NE
la méthode de dialogue est la meilleure pour moi j'ai trop aimé le prof,20/01/2021,PDC,CO,P,J,A
le prof allait trop vite en td,31/01/2021,ALG1,Pr,N,M,NE
"le prof écrit sur le pc , c'est la meilleure méthode ",31/01/2021,ALG1,D,P,J,NE
 le seul problème c'est que le prof travail d'une manière très rapide je me perds des fois ,31/01/2021,ALG1,G,N,M,NE
"Contenu pas clair, dommage",01/02/2021,ELECT,C,N,M,NE
je ne pouvais pas interrompre l'enseignante dans les points que je n'ai pas compris et ça m'énerve,01/02/2021,ELECT,CO,N,C,NE
je n'ai pas pu poser mes question par microphone à cause de la connexion et ça m'a rendu angoissée,01/02/2021,ELECT,CO,N,A,NE
"je n'ai rien compris , on avance trop vite sans bien expliquer chaque point, et la même chose dans les séances précédentes c'est énervant",01/02/2021,ELECT,G,N,C,NE
"La prof ne nous entendait pas, elle a fini la dernière partie du chapitre et a fait quatre exercices en une heure, personne ne pourrait suivre on était tous perdus et stressés à cause d'elle et elle s'en foutait",02/02/2021,ELECT,Pr,N,A,H
"Je sais lire toute seule j'ai besoin d'explications et de plus d'exemples , et comme la prof n'entendez rien elle a cru que tout le monde a compris et passe au slides suivants ....",02/02/2021,ELECT,Pr,N,M,H
"Cours mal organisé ,",02/02/2021,ELECT,S,N,M,NE
pas d'animations ni de couleurs et surtout dans un tel module on en a besoin et comme ça il est juste ennuyant.,02/02/2021,ELECT,D,N,E,NE
"y'avais pas d'interaction du tout, la prof n'entendez rien les étudiants n'ont pas arrêté de parler puisqu'elle entendait rien et ça m'a agacé ",02/02/2021,ELECT,CO,N,C,NE
"La prof va trop vite c vrai qu'on a seulement deux heures par semaine mais elle s'absente et puis fait tout en une heure, je suis perdu et j'arrive pas a me rattrapper,vraiment déçue d'elle 
",02/02/2021,ELECT,G,N,M,H
elle avance très vite ,09/02/2021,ELECT,Pr,N,M,NE
Le contenu de ce cours est très important,09/02/2021,ELECT,C,P,J,NE
le cours est résumé  donc c'est très difficile de comprendre d'où les résultats sont venu ,09/02/2021,ELECT,Pr,N,M,NE
parfois les questions organisés après plusieurs points ,09/02/2021,ELECT,CO,N,M,NE
Difficile à comprendre directement vu les problème de connexion d'internet,09/02/2021,ELECT,G,N,M,NE
j'ai pas aimé la façon de  la présentation surtout avec son rythme rapide d'explication ,26/01/2021,ELECT,Pr,N,M,NE
cela pourrait être mieux si le cours contient juste l'essentiel,26/01/2021,ELECT,C,N,M,NE
le côté design est bien,26/01/2021,ELECT,D,P,J,NE
l'enseignant nous entend pas  donc on est obligé d'utiliser le chat qui prend vraiment le temps,26/01/2021,ELECT,CO,N,M,NE
je n'aime pas la présentation du cours. je crois elle est compliquée,10/02/2021,ARCH1,Pr,N,M,NE
cela pourrait être mieux s'il écrit la solution ,10/02/2021,ARCH1,C,N,M,NE
pas du tout il a fait une série td dans le cours ce qui le rend mal organisé,10/02/2021,ARCH1,S,N,M,NE
la plupart de temps je n'arrive pas a comprendre c'est stressant quand même,10/02/2021,ARCH1,G,N,A,NE
 J'aime bien la présentation de TD,10/02/2021,ARCH1,Pr,P,J,NE
le contenue est très claire,10/02/2021,ARCH1,C,P,J,NE
j'aime ce TD il est bien structuré  ,10/02/2021,ARCH1,S,P,J,NE
elle écrit de façon claire ,10/02/2021,ARCH1,D,P,J,NE
elle nous donne la possibilité de  participer et poser nos questions j'adore,10/02/2021,ARCH1,CO,P,J,A
"elle explique tout j'aime bien les séance de ce cours, je me sens tout le temps à l'aise ",10/02/2021,ARCH1,G,P,J,A
le cours est bien structuré ,13/02/2021,ARCH1,S,P,J,NE
Très bonne communication entre le prof et les étudiants,13/02/2021,ARCH1,CO,P,J,NE
j'ai aimé le cours,13/02/2021,ARCH1,G,P,J,NE
elle explique très vite ,13/02/2021,ARCH1,Pr,N,M,NE
 la présentation etait parfaite,13/02/2021,ARCH1,Pr,P,J,NE
il y avait des coupures je n'ai pas pu suivre ,13/02/2021,ARCH1,Pr,N,A,NE
Le contenu de cours est chargée par rapport à la durée ,13/02/2021,ARCH1,C,N,M,NE
Le cours est bien organisé,13/02/2021,ARCH1,S,P,J,NE
J'apprends pas toujours ce que je voulais vraiment juste des petites idées,13/02/2021,ARCH1,G,N,M,NE
très bien passé,13/02/2021,ARCH1,Pr,P,J,NE
trés trés important,13/02/2021,ARCH1,C,P,J,NE
travail bien organisé,13/02/2021,ARCH1,S,P,J,NE
la façon avec laquelle le prof expliquait m'a perturbé avec mes respects,13/02/2021,ARCH1,Pr,N,A,NE
questions/réponses durant le cours pour moi c'est la bonne solution j'adore,13/02/2021,ARCH1,CO,P,J,NE
la méthode qu'utilise le prof pour expliquer (écrire à main levée) m'a un peu perturbé et stressé,13/02/2021,ARCH1,Pr,N,A,NE
la présentation est cool,09/02/2021,BW,Pr,P,J,NE
c'est très organisé ,09/02/2021,BW,S,P,J,NE
beaucoup de texte mais je pense que c'est l'essentiel de l'essentiel,09/02/2021,BW,D,P,J,NE
la méthode fait par le prof est géniale ,09/02/2021,BW,CO,P,J,A
2h de cours était très lourde pour moi j'avais mal aux yeux,09/02/2021,BW,G,N,M,NE
Le cours est présenté un peu rapidement.,11/02/2021,BW,Pr,N,M,NE
Ce cours contient pas mal d'informations importantes et très utiles pour un informaticien.,11/02/2021,BW,C,P,J,NE
Le cours et très bien structuré du côté pédagogique.,11/02/2021,BW,S,P,J,NE
Il y a un équilibre entre les textes et les couleurs.,11/02/2021,BW,D,P,J,NE
J'aime bien la méthode du dialogue qui est toujours adoptée dans ce cours.,11/02/2021,BW,CO,P,J,NE
Je trouve que la pratique après le cours joue un rôle très important dans la construction des connaissances de ce module.,11/02/2021,BW,G,NE,NE,NE
l'enseignante travaille trop vite,13/02/2021,BW,Pr,N,M,NE
très intéressant ,13/02/2021,BW,C,P,J,NE
"Je n'arrivais pas à faire le TP avec vous, je me sens perdu",13/02/2021,BW,G,N,F,NE
"j'ai bénéficié de ce cours, il est très intéressant ",13/02/2021,BW,G,P,J,NE
c'était génial,11/02/2021,ALSDS,Pr,P,J,NE
très structuré et bien organisé,11/02/2021,ALSDS,S,P,J,NE
"la méthode faite par l'enseignant est géniale , avec une très bonne communication",11/02/2021,ALSDS,CO,P,J,A
Le prof prend beaucoup de temps pour faire un peu d'exercices. J'aime pas vraiment sa méthode,11/02/2021,ALSDS,Pr,N,M,NE
"Mal organisé, des fois on prépare des exercices et le profs ne les traitent pas ",11/02/2021,ALSDS,S,N,M,NE
"Un peu de communication entre prof et étudiants, c'est frustrant",11/02/2021,ALSDS,CO,N,A,NE
L'essentiel que c'est du comprendre ,11/02/2021,ALSDS,G,NE,NE,NE
 J'aime bien la présentation de ce cours,11/02/2021,SYST1,Pr,P,J,NE
Le contenu de ce cours est très important ,11/02/2021,SYST1,C,P,J,NE
 j’aime vraiment ce cours il est bien structuré et dans un ordre très logique,11/02/2021,SYST1,S,P,J,NE
j'aime la méthode de dialogue faite par l'enseignant,11/02/2021,SYST1,CO,P,J,A
C'est incroyable la quantité de connaissances que j'ai acquises aujourd’hui ,11/02/2021,SYST1,G,P,J,NE
Oui je suis satisfait avec la méthode de l'enseignement j'ai aimé ,27/01/2021,ARCH1,Pr,P,J,A
" des nouvelles notions sont abordées, j'aime bien",27/01/2021,ARCH1,C,P,J,NE
"le cours de cette séance est organisé, j'aime bien",27/01/2021,ARCH1,S,P,J,NE
On se communique bien avec l'enseignant aucun problème avec ça il est trop gentil avec nous,27/01/2021,ARCH1,CO,P,J,A
"Pas vraiment, c'est ennuyant car  les pages du cours ne sont pas bien animées et colorées ",27/01/2021,ARCH1,D,N,E,NE
c'est fatiguant et stressant  de travailler chaque jour sur ce module á distance,27/01/2021,ARCH1,G,N,A,NE
"La présentation était bien , la prof écrivait sur un tableau blanc étapes par étape ce qui a aidé à mieux suivre et comprendre",27/01/2021,ARCH1,Pr,P,J,NE
Les exercices et la méthode de simplification sont très bien expliqués donc il faut suivre dès le début pour bien avancer,27/01/2021,ARCH1,C,P,J,NE
Très bonne structure,27/01/2021,ARCH1,S,P,J,NE
Très bonne interaction,27/01/2021,ARCH1,CO,P,J,NE
Le TD de cette semaine s'est très bien passé,27/01/2021,ARCH1,G,P,J,NE
"Le prof nous lit ce qui est écrit sur powerpoint ou word  je me trouve perdu,  je préfère qu'il utilise l'application white board ou tableau blanc pour écrire ses exemples ",27/01/2021,ARCH1,Pr,N,F,NE
Le contenu du cours de cette séance est vraiment important,27/01/2021,ARCH1,C,P,J,NE
"je suis pas satisfait par la structure, j'aimerai avoir plus d'exemples pour mieux comprendre ",27/01/2021,ARCH1,S,N,M,NE
"Côté design , y'a pas mal de couleurs, de tableaux .. donc c'est suffisant",27/01/2021,ARCH1,D,P,J,NE
j'aime pas la méthode de communication car parfois on sent que l'élève n'as pas encore compris et le prof le dit ok il s'en fout vraiment de nous,27/01/2021,ARCH1,CO,N,M,H
J'aimerai bien que le prof d'archi change sa méthode en ligne pour la prochaine séance,27/01/2021,ARCH1,G,N,M,NE
bien présenté j'adore la méthode du prof,27/01/2021,ARCH1,Pr,P,J,A
contenu important et complet ,27/01/2021,ARCH1,C,P,J,NE
design simple et beau ,27/01/2021,ARCH1,S,P,J,NE
"Très bonne communication entre nous tous, le prof me motive vraiment d'assister ",27/01/2021,ARCH1,D,P,J,A
je me sens à l'aise dans ce cours comme si on le fait en présentiel ,27/01/2021,ARCH1,CO,P,J,NE
"il a sauté plusieurs points importants, son but était juste de finir et ça m'énerve ",27/01/2021,ARCH1,Pr,N,C,H
le contenu de cette séance est important,27/01/2021,ARCH1,C,P,J,NE
il est structuré et organisé,27/01/2021,ARCH1,S,P,J,NE
cette séance contient des illustrations et des explications,27/01/2021,ARCH1,D,P,J,NE
"On peut pas parler juste deux fois en séance pour poser nos questions, j'aime pas vraiment la méthode de communication adapté par ce prof et ça me stresse ",27/01/2021,ARCH1,CO,N,A,NE
"je termine la séance avec plusieurs choses pas vraiment claires, le prof m'énerve vraiment son seul but et de terminer le programme  ",27/01/2021,ARCH1,G,N,C,H
le temps de la séance est limité et l'enseignante était obligé d'aller trop vite,26/01/2021,BW,Pr,N,M,NE
le cours est important et complet,26/01/2021,BW,C,P,J,NE
le cours était cohérent,26/01/2021,BW,S,P,J,NE
"bien , il y avait des dessins et des explications j'aime bien",26/01/2021,BW,D,P,J,NE
"le temps est limité, on ne pouvait pas poser plusieurs questions ni communiquer entre nous pour rendre la séance plus active dommage",26/01/2021,BW,CO,N,M,NE
la séance est parfaite j'adore le prof,24/01/2021,ALSDS,Pr,P,J,A
"le contenu est intéressant, et compréhensible",24/01/2021,ALSDS,C,P,J,NE
le cours était bien structuré,24/01/2021,ALSDS,S,P,J,NE
design parfait rien à dire !,24/01/2021,ALSDS,D,P,J,NE
"excellente communication, on pouvait poser nos questions à n'importe quel moment et intervenir aussi j'adore  cette méthode",24/01/2021,ALSDS,CO,P,J,A
J'aime bien le cours de cette séance j'étais à l'aise ,24/01/2021,ALSDS,G,P,J,NE
