Commentaire,Séance,Module,Polarité,Attitude,Attente,Présentation,Contenu,Design,Général,Communication,Structure,Anxiété,Colère,Ennui,Joie,Mécontentement,Confusion,Utilité,Intrinsèque,Accomplissement,Cout,Satisfaction,Gratitude,Sentiment,Aspect,Niveau
"Cours bien organisé, néanmoins une vue plus globale avec la description des liens existants entre chaque concept pourrait être intéressante","Apr 01, 2017",Esi,N,NE,NE,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,J,D,1CP
"Typographies soignées, images représentatives et couleurs harmonieuses.","Apr 01, 2017",Esi,P,NE,NE,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,M,D,1CP
 les slides sont parfois un peu trop chargées en texte,"Apr 01, 2017",Esi,N,NE,NE,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,E,CO,1CP
"Hormis les questions des étudiants, peu d'occasions d'interaction je m'ennuie trop ","Apr 01, 2017",Esi,N,NE,NE,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,J,G,1CP
"Séance très intéressante avec du contenu que je découvre pour la première fois, certains aspects pourraient être améliorés pour rendre l'expérience parfaite","Apr 01, 2017",Esi,P,NE,NE,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,J,Pr,1CP
cours bien expliqué,"Apr 01, 2017",Esi,P,NE,NE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,M,C,1CP
"cours intéressant, mais ça serait mieux d'avoir plus d'exemples","Apr 01, 2017",Esi,N,NE,NE,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,J,S,1CP
bien organisé,"Apr 01, 2017",Esi,P,NE,NE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,E,D,1CP
j'ai tendance à dire qu'il y a beaucoup de textes dans quelques slides,"Apr 01, 2017",Esi,N,NE,NE,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,J,CO,1CP
le prof répond toujours aux questions et incite les étudiants à poser leurs questions  donc une bonne interaction,"Apr 01, 2017",Esi,P,A,NE,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,J,G,1CP
j'ai trop aimé car j'ai appris de nouvelles choses,"Apr 01, 2017",Esi,P,NE,NE,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,M,Pr,1CP
le prof présente d'une manière rapide j'aime pas du tout sa méthode,"Apr 01, 2017",Esi,N,NE,NE,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,J,C,1CP
Le cours est intéressant ,"Apr 01, 2017",Esi,P,NE,NE,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,J,S,1CP
Le cours est bien structuré.,"Apr 01, 2017",Esi,P,NE,NE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,M,D,1CP
il faut ajouter quelques animations.,"Apr 01, 2017",Esi,N,NE,NE,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,J,CO,1CP
Très bonne communication,"Apr 01, 2017",Esi,P,NE,NE,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,J,G,1CP
C'est incroyable la quantité de connaissances que j'ai acquises aujourd’hui,"Apr 01, 2017",Esi,P,NE,NE,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,M,Pr,1CP
l'explication est bonne mais la façon c'est inactive,"Apr 01, 2017",Esi,N,NE,NE,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,J,C,1CP
les notions sont importantes et intéressantes,"Apr 01, 2017",Esi,P,NE,NE,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,J,S,1CP
j'aime bien la structure de ce cours et surtout les exemples sont bien choisis,"Apr 01, 2017",Esi,P,NE,NE,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,M,D,1CP
 les diapos sont un petit peu chargés il est utile de séparer les sous titres dans des diapos appart,"Apr 01, 2017",Esi,N,NE,NE,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,E,CO,1CP
il n'y a pas beaucoup d'interaction entre les étudiants et l'enseignant est ennuyant.,"Apr 01, 2017",Esi,N,NE,NE,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,J,G,1CP
l'explication est claire et l'enseignant répond à nos questions,"Apr 01, 2017",Esi,P,A,NE,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,M,Pr,1CP
j'aime pas vraiment la méthode abordée en ligne dans la séance de pdc,"Apr 01, 2017",Esi,N,NE,NE,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,M,C,1CP
"Trop de patrons, j'aimerais si on étudie peu de patrons pour bien les maîtriser","Apr 01, 2017",Esi,N,NE,NE,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,M,D,1CP
incohérence des fonts,"Apr 01, 2017",Esi,N,NE,NE,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,J,CO,1CP
l'enseignante demande toujours si on a des questions donc on a l'opportunité de poser des questions sur les points non claires je l'aime bien,"Apr 01, 2017",Esi,P,A,NE,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,A,G,1CP
"typiquement vrai "" Je n'arrive pas à comprendre "" et « ce cours m'a rendu angoissé »","Apr 01, 2017",Esi,N,NE,N,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,J,Pr,1CP
"La présentation du prof  nous aide à comprendre les concepts du cours, c'est le meilleur prof","Apr 01, 2017",Esi,P,A,NE,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,J,C,1CP
La séance est très intéressante du moment où ça nous aide à optimiser nos codes afin de les rendre  plus performant et efficace. Le cours est très bien présenté et illustré avec beaucoup d'exemples.,"Apr 01, 2017",Esi,P,NE,NE,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,J,S,1CP
"Je trouve le séquencement très logique: on commence d'abord en se rappelons sur les concepts de POO vus en 2CP, ensuite on élabore les nouveaux patrons de conceptions.","Apr 01, 2017",Esi,P,NE,NE,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,J,D,1CP
Les slides sont beaux et originaux,"Apr 01, 2017",Esi,P,NE,NE,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,M,D,1CP
Je pense que quelque slides contiennent beaucoup de détails et d'informations supplémentaires.,"Apr 01, 2017",Esi,N,NE,NE,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,J,CO,1CP
Très bonne communication entre prof et étudiants.,"Apr 01, 2017",Esi,P,NE,NE,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,NE,G,1CP
"Ça serait encore mieux si on pouvait inclure des exercices un peu réel au à la fin des patrons, afin de s'exercer sur des cas un peu compliqués.","Apr 01, 2017",Esi,NE,NE,NE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,J,Pr,1CP
"Une bonne présentation des cours, tout ce qui aide à les comprendre est inclus.","Apr 01, 2017",Esi,P,NE,NE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,F,Pr,1CP
Peut-être il faut juste détailler un peu plus les exemples car des fois je me sens confus  vu que la liste des DPs est longue ,"Apr 01, 2017",Esi,N,NE,NE,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,J,C,1CP
"Jusqu'à présent, les DP sont intéressants.","Apr 01, 2017",Esi,P,NE,NE,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,J,S,1CP
La séquence des cours est bien établie,"Apr 01, 2017",Esi,P,NE,NE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,M,D,1CP
Certains slides contiennent beaucoup de texte ce qui est un peu fatiguant,"Apr 01, 2017",Esi,N,NE,NE,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,J,CO,1CP
J'aime bien le fait que l'enseignant répond aux questions au fur et à mesure,"Apr 01, 2017",Esi,P,A,NE,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,J,G,1CP
"C'est une séance très intéressante, riche et importante","Apr 01, 2017",Esi,P,NE,NE,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,J,C,1CP
contenu riche et important j'aime bien,"Apr 01, 2017",Esi,P,NE,NE,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,M,G,1CP
séance courte 1 heure de td ne suffit pas,"Apr 01, 2017",Esi,N,NE,NE,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,J,S,1CP
il est bien structuré,"Apr 01, 2017",Esi,P,NE,NE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,C,G,1CP
aujourd'hui je n'est pas bien compris et ça m'énerve,"Apr 01, 2017",Esi,N,NE,NE,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,J,CO,1CP
une bonne communication puisque on peut poser nos questions à tout moment,"Apr 01, 2017",Esi,P,NE,NE,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,A,G,1CP
"c'est difficile de suivre oralement , le contact visuel est toujours meilleur","Apr 01, 2017",Esi,N,NE,NE,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,J,C,1CP
une quantité logique selon le volume horaire  ^^,"Apr 01, 2017",Esi,P,NE,NE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,J,C,1CP
Toutes les notions de cours sont intéressantes ,"Apr 01, 2017",Esi,P,NE,NE,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,J,S,1CP
L'ordre est bon,"Apr 01, 2017",Esi,P,NE,NE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,J,D,1CP
 c'est agréable ,"Apr 01, 2017",Esi,P,NE,NE,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,J,CO,1CP
 il y a une bonne communication j'adore  ,"Apr 01, 2017",Esi,P,NE,NE,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,A,G,1CP
Je revois les cours toujours parce que en présentiel j'ai l'habitude d'écrire au même temps que l'enseignant explique mais en ligne j'arrive pas à écrire et comprendre au même temps donc je perds le fil et ça me stresse ,"Apr 01, 2017",Esi,N,NE,N,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,J,Pr,1CP
 l'enseignante a bien expliqué et simplifié les cours j'adore,"Apr 01, 2017",Esi,P,A,NE,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,M,C,1CP
le contenu du cours me semble très intéressant et  très utile mais il peut s'améliorer s'il y aura plus d'exemples celui qui va nous aider à bien comprendre,"Apr 01, 2017",Esi,N,NE,NE,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,J,S,1CP
Jusqu'à maintenant le cours est bien organisé,"Apr 01, 2017",Esi,P,NE,NE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,M,D,1CP
le cours contient beaucoup de texte,"Apr 01, 2017",Esi,N,NE,NE,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,J,G,1CP
j'apprécie la méthode de communication du prof durant la séance et comment elle  répond aux questions malgré que le temps associé aux séances est relativement court .,"Apr 01, 2017",Esi,P,A,NE,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,J,Pr,1CP
La présentation est bonne,"Apr 01, 2017",Esi,P,NE,NE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,J,S,1CP
le cours est bien structuré,"Apr 01, 2017",Esi,P,NE,NE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,J,D,1CP
le design est bien,"Apr 01, 2017",Esi,P,NE,NE,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,C,CO,1CP
ça m'énerve quand le prof me demande de prendre la parole car j'ai pas une bonne connexion et je ne suis pas à l'aise chez moi,"Apr 01, 2017",Esi,N,NE,NE,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,M,G,1CP
Comme mentionné j'arrive pas à comprendre pourquoi il essaye de comparer le présentiel avec le virtuel c'est pas la même chose et ce n'est pas le même rythme donc il faut revoir la méthode en ligne. ,"Apr 01, 2017",Esi,N,NE,NE,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,M,CO,1CP
Le fait de choisir une personne quelconque pour répondre aux questions je trouve que c'est un inconvénient. Car ce n'est pas tout le monde qui a une réponse ou peut pas activer son microphone surtout à la maison ,"Apr 01, 2017",Esi,N,NE,NE,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,J,C,1CP
Je trouve que le contenu est bien présenté ,"Apr 01, 2017",Esi,P,NE,NE,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,J,S,1CP
Il est bien organisé,"Apr 01, 2017",Esi,P,NE,NE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,J,D,1CP
"Très bien fait, même les exemples sont bien illustratifs et reflètent la réalité ce qui nous laisse réellement imaginer le problème et penser à une solution.","Apr 01, 2017",Esi,P,NE,NE,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,M,CO,1CP
J'aime pas le fait de désigner une personne précise et lui poser des questions. Je préfère la méthode de laisser les questions juste après chaque partie présentée.,"Apr 01, 2017",Esi,N,NE,NE,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,M,G,1CP
Un peu trop d'informations présentées par séance ,"Apr 01, 2017",Esi,N,NE,NE,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,A,C,1CP
J'aime bien le contenu du cours.,"Apr 01, 2017",Esi,N,NE,NE,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,J,S,1CP
des fois je me sens stressé quand je vois beaucoup d'informations sur la présentation. Je pense que le cours détaillé c'est pour réviser tout seul et la présentation sera sous forme de grande lignes avec les exemples qui seront dans le cours.,"Apr 01, 2017",Esi,N,NE,NE,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,J,D,1CP
J'aime bien comment le cours est structuré surtout les pattern Gof sous forme de catégories ensuite on détaille chaque catégorie. ,"Apr 01, 2017",Esi,P,NE,NE,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,E,CO,1CP
"J'aime, design clair et lisible pas d'abus de couleur. ","Apr 01, 2017",Esi,P,NE,NE,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,A,G,1CP
"La communication c'est un défaut des étudiants, peu d'étudiants participent en ligne et ça devient ennuyant ","Apr 01, 2017",Esi,N,NE,NE,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,J,G,1CP
J'ai pas arrivé à suivre à cause des coupures de connexion sinon des que je revois le cours j'assimile très bien ce que nous avons vu. ,"Apr 01, 2017",Esi,N,NE,NE,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,J,C,1CP
 Cette séance était parmi les meilleures séances pour ne pas dire la meilleur ,"Apr 01, 2017",Esi,P,NE,NE,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,J,D,1CP
Un nombre raisonnable de notions et on a compris,"Apr 01, 2017",Esi,P,NE,NE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,J,CO,1CP
Le design était bien,"Apr 01, 2017",Esi,P,NE,NE,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,E,Pr,1CP
" cette fois la communication était très très très bonne, l'enseignante n'a pas obligé les gens a activer leurs micro","Apr 01, 2017",Esi,P,NE,NE,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,J,C,1CP
"La façon de présentation de la prof n'est pas bonne , la séance passe trop lourde ","Apr 01, 2017",Esi,N,H,NE,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,J,S,1CP
Le contenu du module est très important surtout pour un ingénieur logiciel.,"Apr 01, 2017",Esi,P,NE,NE,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,M,D,1CP
"Pour la structure , le cours est bien structuré , genre étape par étape .","Apr 01, 2017",Esi,P,NE,NE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,J,CO,1CP
"Les slides sont trop chargés , les exemples sont un peu compliqués.","Apr 01, 2017",Esi,N,NE,NE,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,M,G,1CP
"Dans ce côté la prof pose toujours la question si nous comprenons ou non , donc une bonne communication.","Apr 01, 2017",Esi,P,NE,NE,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,J,Pr,1CP
"Si je ne revois pas le cours plusieurs fois et faire des recherche j'arrive pas à comprendre le 20% , donc la quantité des informations gardé durant la séance est très faible en comparant avec d'autres modules.","Apr 01, 2017",Esi,N,NE,N,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,F,C,1CP
La présentation du cours contient toutes les informations nécessaires ,"Apr 01, 2017",Esi,P,NE,NE,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,J,S,1CP
 Des fois je n'arrive pas à faire le lien entre les notions du même chapitre ,"Apr 01, 2017",Esi,N,NE,N,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,J,D,1CP
Je pense que l'ordre dont lequel les notions sont présentées est très logique ,"Apr 01, 2017",Esi,P,NE,NE,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,J,CO,1CP
Texte clair et lisible. Les couleurs ne sont pas ennuyantes ,"Apr 01, 2017",Esi,P,NE,NE,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,M,G,1CP
J'aime bien l'échange entre le prof et les étudiants ,"Apr 01, 2017",Esi,P,NE,NE,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,J,Pr,1CP
"Le cours contient beaucoup d'informations. Je pense ça serait bien de préciser le pourquoi des choses, pour qui  et dans quel but","Apr 01, 2017",Esi,N,NE,NE,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,J,C,1CP
J'adore la présentation du cours. L'enseignant est très pédagogue. ,"Apr 01, 2017",Esi,P,A,NE,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,J,S,1CP
"Le contenu est léger, abordable et pertinent. ","Apr 01, 2017",Esi,P,NE,NE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,J,D,1CP
Le cours est très bien structuré.,"Apr 01, 2017",Esi,P,NE,NE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,J,CO,1CP
"Le cours ne nécessite pas d'efforts pour le comprendre, son design est simple et ne contenant que l'essentiel.","Apr 01, 2017",Esi,P,NE,NE,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,J,G,1CP
"J'aime bien le fait que l'enseignant pose des questions aux étudiants, sur certains aspects du cours qui nous font réfléchir.","Apr 01, 2017",Esi,P,A,NE,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,J,Pr,1CP
Les séances de ce module sont parmi mes préférées à cause de l'enseignante,"Apr 01, 2017",Esi,P,A,NE,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,J,C,1CP
"Le cours est bien présenté ,les informations sont simplement transmis aussi que le prof essaye de créer une certaine interaction  dans le groupe malgré que c'est difficile ","Apr 01, 2017",Esi,P,A,NE,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,J,S,1CP
Le contenu du cours est important soit dans la phase analyse des contenus ou même surtout la partie étude des cas ,"Apr 01, 2017",Esi,P,NE,NE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,J,D,1CP
Le cours est bien structuré et je trouve une cohérence entre les séances du cours et TD,"Apr 01, 2017",Esi,P,NE,NE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,J,CO,1CP
Pour les slides du cours je les trouve bien on est déjà habitué à ce style avec le module cprj et aqua avec Et aussi dans les slides du cours y’a des photos et schémas  qui attire parfois l'attention lors de l'introduction des exemple et je trouve que ça rendre la présentation active ,"Apr 01, 2017",Esi,P,NE,NE,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,M,Pr,1CP
Bon pour ce point personnellement je préfère la méthodes de dialogue et aussi genre après chaque fin d’un points importants il y’a les questions c’est pas jusqu'à la fin et je trouve ça bien car ça me permet de pouvoir suivre et ne pas déconnecter et perdre la concentration lors du cours ,"Apr 01, 2017",Esi,P,NE,NE,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,J,C,1CP
Je n'apprécie pas vraiment la présentation de ce cours,"Apr 01, 2017",Esi,N,NE,NE,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,M,S,1CP
le cour est très intéressant surtout son contenu les notions abordées,"Apr 01, 2017",Esi,P,NE,NE,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,E,D,1CP
je trouve qu'il n'est pas assez bien organisé,"Apr 01, 2017",Esi,N,NE,NE,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,C,CO,1CP
"on trouve aucune interactivité , noir sur blanc c'est ennuyant","Apr 01, 2017",Esi,N,NE,NE,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,M,G,1CP
"j'apprécie pas la méthode car il fait pas participer les étudiants , il accède pas au chat malgré qu'il y'a des problèmes signalés et ça m'énerve car on passe à autre chose sans comprendre ce qui est déjà vu il nous ignore complètement je le déteste","Apr 01, 2017",Esi,N,H,NE,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,M,Pr,1CP
 il faut changer la méthode de présentation de ce cours j'aime pas vraiment,"Apr 01, 2017",Esi,N,NE,NE,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,J,C,1CP
"L'enseignant lit les diapos, peu d'explications approfondies des notions je le sens inutile","Apr 01, 2017",Esi,N,H,NE,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,M,S,1CP
Le cours sur les algorithmes est plutôt intéressant,"Apr 01, 2017",Esi,P,NE,NE,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,E,D,1CP
"Cours mal organisé, relations entre les notions pas claires, transitions brusques entre les parties...","Apr 01, 2017",Esi,N,NE,NE,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,A,CO,1CP
"Mise en forme hideuse du texte, pas de couleurs au moins pour la distinction des différentes parties, schémas incompréhensibles et non expliqués, ça donne pas envie de suivre.","Apr 01, 2017",Esi,N,NE,NE,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,A,G,1CP
"L'enseignant va très rapidement, sans arrêt, sans prendre en considération le chat, il laisse les questions à la fin (généralement il ne reste pas beaucoup de temps) et on termine la séance avec beaucoup de questions dans nos tête et ça me rend angoissé et stressé. ","Apr 01, 2017",Esi,N,NE,NE,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,J,Pr,1CP
